,name,protein,unit protein,carb,unit carb,lipid,unit lip,searched
983,mushroom stems and piece,2.31,G,2.31,G,0.0,G,1
984,unsweetened coconut milk,1.25,G,2.5,G,17.5,G,1
985,liquid red pepper seasoning,0.8,G,3.9,G,0.3,G,1
986,white grape juice concentrate,0.0938,G,15.8,G,0.265,G,1
987,stella doro anginetti cookies,6.67,G,63.3,G,36.7,G,1
988,graham cracker tart shell,5.1,G,64.3,G,24.8,G,1
989,whole wheat self-rising flmy,9.89,G,74.2,G,0.97,G,1
990,fruit and bran cereal,9.65,G,81.2,G,2.9,G,1
991,frozen fruit punch concentrate,0.2,G,41.4,G,0.0,G,1
992,pink salmon,19.0,G,0.0,G,7.94,G,1
993,balsamic vinaigrette,0.0,G,13.3,G,26.7,G,1
994,baked pie crust,3.41,G,58.5,G,28.7,G,1
995,apple cider vinegar,0.0,G,50.0,G,0.0,G,1
996,finely granulated sugar,0.0,G,99.6,G,0.32,G,1
997,chocolate crisp rice cereal,6.69,G,86.2,G,1.26,G,1
998,splash berry blend,0.0,G,7.41,G,0.0,G,1
999,crunchy peanut butter,21.9,G,21.9,G,50.0,G,1
1000,banana cream yogurt,4.4,G,32.9,G,13.6,G,1
1001,light non-dairy whipped topping,0.0,G,0.0,G,100,G,1
1002,condensed chicken gumbo soup,2.1,G,6.67,G,1.14,G,1
1003,amaretto coffee creamer,0.0,G,33.3,G,10.0,G,1
1004,cooked short-grain white rice,2.36,G,28.7,G,0.19,G,1
1005,quik chocolate milk mix,3.36,G,9.94,G,3.14,G,1
1006,chocolate whey protein powder,78.1,G,6.25,G,1.56,G,1
1007,vegan chocolate chip,0.3,G,16.0,G,19.2,G,1
1008,roasted sweet red pepper,0.99,G,6.03,G,0.3,G,1
1009,great northern bean,24.7,G,0,0,1.24,G,1
1010,herring in wine sauce,16.4,G,3.64,G,10.9,G,1
1011,soft white bread cube,8.85,G,49.4,G,3.33,G,1
1012,vital wheat gluten flmy,75.2,G,13.8,G,1.85,G,1
1013,non-dairy powdered coffee creamer,2.48,G,59.3,G,32.9,G,1
1014,instant chocolate fudge pudding,2.3,G,87.9,G,1.9,G,1
1015,lean ground chuck,21.9,G,0.21,G,3.99,G,1
1016,lean beef chuck,21.9,G,0.21,G,3.99,G,1
1017,pre-baked crumb crust,23.4,G,0.6,G,18.0,G,1
1018,dry mushroom soup mix,7.48,G,65.1,G,0.34,G,1
1019,beef top round,22.2,G,0.0,G,8.67,G,1
1020,amaretto di saronno liqueur,0.0,G,41.6,G,0.3,G,1
1021,herb seasoned stuffing mix,10.8,G,73.0,G,9.46,G,1
1022,chinese five spice powder,0.0,G,0.0,G,0.0,G,1
1023,french parfait amour liqueur,0.0,G,41.6,G,0.3,G,1
1024,crisp rice cereal,6.69,G,86.2,G,1.26,G,1
1025,rice and sauce mix,7.27,G,17.2,G,5.0,G,1
1026,vegetarian beef bouillon powder,16.0,G,17.4,G,8.89,G,1
1027,havarti cheese,22.7,G,0.0,G,36.4,G,1
1028,mandarin oranges in juice,0.62,G,9.57,G,0.03,G,1
1029,crushed pineapple in syrup,0.4,G,15.6,G,0.11,G,1
1030,strawberry danish dessert mix,7.8,G,90.5,G,0.0,G,1
1031,korean red pepper powder,1.01,G,6.09,G,2.94,G,1
1032,bugles snack,7.0,G,62.8,G,25.6,G,1
1033,sirloin tip roast,22.9,G,0.0,G,1.71,G,1
1034,baked pastry shell,6.41,G,63.5,G,21.8,G,1
1035,baker's dry milk,40.4,G,41.2,G,7.61,G,1
1036,dried red pepper flake,17.9,G,68.7,G,3.0,G,1
1037,mexican cheese blend,23.3,G,6.67,G,30.0,G,1
1038,canada dry ginger ale,0.0,G,10.1,G,0.0,G,1
1039,pork loin roast,26.4,G,0.0,G,8.82,G,1
1040,'s chocolate chip,5.1,G,65.4,G,24.7,G,1
1041,french's french fried onion,3.31,G,39.5,G,13.2,G,1
1042,whole grain sandwich roll,9.3,G,46.5,G,3.49,G,1
1043,reddi-wip topping,3.0,G,25.0,G,5.0,G,1
1044,honey crunch wheat germ,26.6,G,58.1,G,7.78,G,1
1045,dried large lima bean,7.25,G,19.4,G,6.86,G,1
1046,vegetarian chicken soup mix,1.72,G,9.78,G,1.58,G,1
1047,coarse unseasoned bread crumb,10.0,G,73.3,G,2.17,G,1
1048,dark amber maple syrup,0.0,G,93.3,G,0.0,G,1
1049,10 bean soup mix,3.24,G,9.48,G,0.12,G,1
1050,karo light corn syrup,0.0,G,76.8,G,0.2,G,1
1051,dry milk powder,19.6,G,57.9,G,13.7,G,1
1052,red river hot cereal,11.2,G,75.2,G,2.0,G,1
1053,frozen peas and corn,8.23,G,23.0,G,3.18,G,1
1054,salt and black pepper,10.4,G,64.0,G,3.26,G,1
1055,sweet red pepper strip,0.99,G,6.03,G,0.3,G,1
1056,chocolate candy coating,13.1,G,49.7,G,33.5,G,1
1057,thick & chunky salsa,3.05,G,21.2,G,2.7,G,1
1058,garlic bagel chip,12.3,G,66.4,G,15.1,G,1
1059,ro-tel tomatoes and onion,1.56,G,9.94,G,0.19,G,1
1060,unsweetened white grape juice,0.55,G,7.59,G,0.7,G,1
1061,pork top loin,21.3,G,0.0,G,8.33,G,1
1062,walnut ice cream topping,2.74,G,32.7,G,9.22,G,1
1063,chocolate wafer cookies,6.6,G,72.7,G,14.2,G,1
1064,peach slices in juice,0.63,G,24.0,G,0.13,G,1
1065,whole mushroom,4.6,G,21.3,G,12.8,G,1
1066,leg of lamb,18.6,G,0.13,G,14.5,G,1
1067,egg beaters egg substitute,55.5,G,21.8,G,13.0,G,1
1068,sambal oelek chili paste,0.0,G,0.0,G,0.0,G,1
1069,onion and garlic crouton,10.8,G,63.5,G,18.3,G,1
1070,sliced mushroom,1.54,G,5.38,G,0.0,G,1
1071,french vanilla cool whip,0.0,G,20.0,G,6.67,G,1
1072,sugar ice cream cone,7.9,G,84.1,G,3.8,G,1
1073,ritz bits ature cracker,6.64,G,61.3,G,26.4,G,1
1074,dried kaffir lime leaf,21.9,G,52.1,G,4.78,G,1
1075,hazelnut liquid coffee creamer,1.0,G,11.4,G,9.97,G,1
1076,raspberry syrup,0.0,G,76.7,G,0.0,G,1
1077,walnut,10.3,G,37.9,G,37.9,G,1
1078,beef hot dog,14.1,G,3.85,G,25.6,G,1
1079,red bird's eye chily,5.39,G,3.03,G,1.27,G,1
1080,fresh sweet basil leaf,3.15,G,2.65,G,0.64,G,1
1081,chicken stock,0.0,G,1.77,G,0.0,G,1
1082,turkey breast half,14.8,G,2.2,G,3.77,G,1
1083,whole wheat pastry flmy,10.2,G,48.9,G,1.53,G,1
1084,instant miso soup mix,2.47,G,2.47,G,1.56,G,1
1085,fresh herbs of choice,3.15,G,2.65,G,0.64,G,1
1086,lime jell-o gelatin,9.09,G,86.4,G,0.0,G,1
1087,chicken breast,14.3,G,3.57,G,8.93,G,1
1088,instant lemon pudding,0.0,G,95.4,G,0.7,G,1
1089,green nori seaweed flake,0.0,G,0.0,G,0.0,G,1
1090,whole wheat spiral pastum,10.2,G,48.9,G,1.53,G,1
1091,sunburst mango,0.82,G,15.0,G,0.38,G,1
1092,artichoke quarters in water,1.67,G,8.33,G,0.0,G,1
1093,yve's veggie ground round,23.3,G,10.0,G,1.67,G,1
1094,plum tomato,0.52,G,13.5,G,0.23,G,1
1095,green bird's eye chily,0.72,G,4.6,G,0.27,G,1
1096,young fresh baby carrot,0.64,G,8.24,G,0.13,G,1
1097,sweetened drink mix,0.0,G,6.2,G,0.22,G,1
1098,plain bread crumb,13.4,G,72.0,G,5.3,G,1
1099,country crock,0.0,G,27.3,G,54.6,G,1
1100,dry bow tie pastum,5.0,G,31.0,G,8.0,G,1
1101,white and yellow corn,9.42,G,74.3,G,4.74,G,1
1102,dried whole green pea,7.18,G,19.3,G,7.0,G,1
1103,macaroni and cheese,5.73,G,14.1,G,2.2,G,1
1104,baked pie shell,6.5,G,56.2,G,28.6,G,1
1105,tuna in vegetable oil,29.1,G,0.0,G,8.21,G,1
1106,tom yam broth cube,17.3,G,16.1,G,4.0,G,1
1107,unsweetened orange juice concentrate,2.4,G,35.2,G,0.25,G,1
1108,chicken gumbo soup,2.1,G,6.67,G,1.14,G,1
1109,chicken thigh,14.0,G,0.88,G,16.7,G,1
1110,chocolate chip ice cream,3.45,G,26.4,G,11.5,G,1
1111,pork blade roast,17.3,G,0.37,G,23.5,G,1
1112,textured soy protein granule,50.0,G,28.6,G,7.14,G,1
1113,milk chocolate brownie mix,3.36,G,9.94,G,3.14,G,1
1114,round rice paper sheet,5.07,G,72.5,G,1.21,G,1
1115,chocolate fudge pudding mix,2.3,G,87.9,G,1.9,G,1
1116,albacore tuna in water,26.8,G,0.0,G,0.18,G,1
1117,red sweet bell pepper,0.99,G,6.03,G,0.3,G,1
1118,"key limes, juice of",2.35,G,17.6,G,1.18,G,1
1119,spinach and ricotta tortellini,8.82,G,21.2,G,7.16,G,1
1120,crushed pineapple in juice,0.0,G,13.9,G,0.0,G,1
1121,french onion soup,4.21,G,6.32,G,3.51,G,1
1122,spinach and cheese tortellini,8.82,G,21.2,G,7.16,G,1
1123,vanilla pudding,1.01,G,20.2,G,2.02,G,1
1124,creamy chicken verde soup,1.6,G,7.2,G,1.7,G,1
1125,coffee frozen yogurt,1.55,G,13.4,G,0.93,G,1
1126,parmesan cheese,28.6,G,3.57,G,28.6,G,1
1127,dark chocolate bar,4.35,G,58.7,G,33.7,G,1
1128,hickory barbecue sauce,0.0,G,27.3,G,0.0,G,1
1129,garlic in oil,6.67,G,13.3,G,10.0,G,1
1130,hot red pepper flake,1.87,G,8.81,G,0.44,G,1
1131,texas toast thick bread,8.89,G,48.9,G,2.22,G,1
1132,crispy wheat cereal square,11.4,G,77.8,G,4.83,G,1
1133,new mexico green chily,1.75,G,10.5,G,0.0,G,1
1134,vanilla cookie pie crust,6.08,G,64.5,G,22.4,G,1
1135,ature chocolate chip,5.1,G,65.4,G,24.7,G,1
1136,sandwich cookies,5.88,G,61.8,G,26.5,G,1
1137,dark chocolate square,3.64,G,77.4,G,15.6,G,1
1138,plain sweet biscuit crumb,14.2,G,29.1,G,14.7,G,1
1139,dark chocolate confectionary coating,7.5,G,60.0,G,30.0,G,1
1140,15 bean soup mix,4.74,G,9.49,G,0.79,G,1
1141,hormel chili without bean,2.39,G,8.19,G,0.33,G,1
1142,pineapple chunks in syrup,0.71,G,12.9,G,0.0,G,1
1143,peanut butter cookie dough,8.2,G,52.1,G,25.0,G,1
1144,lean pork loin,26.9,G,0.0,G,14.5,G,1
1145,roasted bell pepper hummu,6.67,G,20.0,G,5.0,G,1
1146,nut quick bread mix,6.49,G,49.6,G,19.6,G,1
1147,clear creme de menthe,0.0,G,41.6,G,0.3,G,1
1148,hot red pepper sauce,1.29,G,0.8,G,0.76,G,1
1149,dry onion soup mix,7.48,G,65.1,G,0.34,G,1
1150,frozen concentrate orange juice,2.4,G,35.2,G,0.25,G,1
1151,puffed brown rice cereal,7.01,G,87.8,G,0.9,G,1
1152,dried white pea bean,9.04,G,23.3,G,6.83,G,1
1153,cherry pie filling,0.6,G,28.6,G,0.91,G,1
1154,garlic mushroom soup mix,0.66,G,3.33,G,2.59,G,1
1155,chicken leg quarter,15.2,G,0.0,G,22.3,G,1
1156,white chocolate baking square,3.64,G,77.4,G,15.6,G,1
1157,candy cane kiss,0.0,G,73.1,G,0.0,G,1
1158,swiss cheese,26.1,G,4.35,G,26.1,G,1
1159,colby-monterey jack cheese,24.1,G,1.62,G,31.2,G,1
1160,spicy cajun pasta sauce,5.86,G,19.2,G,2.58,G,1
1161,szechuan hot bean sauce,2.41,G,8.15,G,6.92,G,1
1162,frozen dark sweet cherry,1.06,G,16.0,G,0.2,G,1
1163,canned unsweetened coconut milk,0.68,G,11.0,G,0.15,G,1
1164,black cherry gelatin,2.35,G,17.1,G,1.18,G,1
1165,deli peppered turkey breast,21.8,G,3.51,G,0.83,G,1
1166,red bull energy drink,0.46,G,10.2,G,0.0,G,1
1167,golden mushroom soup,0.66,G,3.33,G,2.59,G,1
1168,four-cheese mexican blend cheese,23.5,G,1.75,G,28.5,G,1
1169,crushed red pepper flake,1.01,G,6.09,G,2.94,G,1
1170,light cherry pie filling,0.6,G,28.6,G,0.91,G,1
1171,chocolate soymilk,2.06,G,9.47,G,1.44,G,1
1172,frozen pitted tart cherry,0.31,G,13.7,G,0.54,G,1
1173,garlic salt,0.0,G,0.0,G,0.0,G,1
1174,oatmeal squares cereal,11.4,G,77.8,G,4.83,G,1
1175,whole wheat hoagie roll,8.6,G,46.0,G,6.3,G,1
1176,fine soft bread crumb,8.85,G,49.4,G,3.33,G,1
1177,crab delights imitation crab,4.12,G,8.58,G,16.3,G,1
1178,large egg,10.7,G,2.36,G,0.0,G,1
1179,whole milk ricotta cheese,9.68,G,4.84,G,11.3,G,1
1180,mccormick salad supreme seasoning,0.0,G,0.0,G,0.0,G,1
1181,worcestershire sauce for chicken,0.0,G,19.2,G,0.0,G,1
1182,macaroni and cheese mix,23.5,G,41.2,G,17.6,G,1
1183,shredded parmesan cheese,20.0,G,0.0,G,30.0,G,1
1184,whole grain honey mustard,1.76,G,25.3,G,17.9,G,1
1185,white chocolate candy melt,5.87,G,59.2,G,32.1,G,1
1186,cracker girl all-purpose seasoning,10.9,G,77.3,G,1.48,G,1
1187,baking powder,0.0,G,0.0,G,0.0,G,1
1188,chicken leg,20.8,G,5.27,G,13.8,G,1
1189,peanut butter cup,7.14,G,64.3,G,28.6,G,1
1190,all-purpose flmy,10.9,G,77.3,G,1.48,G,1
1191,white whole wheat flmy,10.9,G,46.2,G,3.57,G,1
1192,cooking creme,4.08,G,17.9,G,2.66,G,1
1193,potato & cheese pierogi,3.89,G,13.4,G,11.2,G,1
1194,yolk-free wide egg noodle,12.5,G,75.0,G,1.79,G,1
1195,skinned chicken breast,28.0,G,0.0,G,3.26,G,1
1196,black cherry syrup,2.35,G,17.1,G,1.18,G,1
1197,diet dr. pepper soda,0.0,G,0.0,G,0.0,G,1
1198,double-crust pie shell,6.5,G,56.2,G,28.6,G,1
1199,sandwich wrap,14.8,G,22.5,G,12.5,G,1
1200,frozen unsweetened mixed berry,1.18,G,15.7,G,0.43,G,1
1201,smart balance omega plu,1.53,G,9.39,G,34.2,G,1
1202,greek yogurt,3.33,G,70.0,G,20.0,G,1
1203,fisher dried sweetened cranberry,0.17,G,82.8,G,1.09,G,1
1204,brown sugar cinnamon syrup,4.06,G,72.6,G,7.98,G,1
1205,sweet red cherry pepper,0.99,G,6.03,G,0.3,G,1
1206,whole wheat elbow macaroni,12.5,G,73.2,G,1.79,G,1
1207,chunky tomato pasta sauce,3.74,G,15.0,G,4.83,G,1
1208,orange spice tea bag,0.0,G,0.0,G,0.0,G,1
1209,cajun seasoning,0.0,G,0.0,G,0.0,G,1
1210,morton tender quick salt,1.71,G,14.8,G,0.46,G,1
1211,manwich sloppy joe mix,10.6,G,9.14,G,6.65,G,1
1212,vegetable soup mix,2.35,G,12.9,G,0.0,G,1
1213,peanut butter sandwich cookie,8.8,G,65.6,G,21.1,G,1
1214,whipped dessert topping mix,1.25,G,23.0,G,25.3,G,1
1215,teriyaki baste and glaze,5.56,G,33.3,G,0.0,G,1
1216,strawberry yogurt,2.35,G,18.2,G,1.18,G,1
1217,baked pizza crust,12.8,G,31.8,G,8.6,G,1
1218,yellow sweet bell pepper,1.0,G,6.32,G,0.21,G,1
1219,raspberry white wine vinegar,0.04,G,0.27,G,0.0,G,1
1220,apricot halves in juice,0.8,G,10.9,G,0.1,G,1
1221,garden vegetable spaghetti sauce,5.8,G,17.2,G,3.28,G,1
1222,soft fresh goat cheese,10.0,G,3.33,G,16.7,G,1
1223,ready rice,2.63,G,32.2,G,2.3,G,1
1224,ground roasted cumin seed,17.8,G,44.2,G,22.3,G,1
1225,chai latte mix,6.67,G,66.7,G,16.7,G,1
1226,powdered vanilla coffee creamer,2.48,G,59.3,G,32.9,G,1
1227,chicken bouillon cube,16.7,G,64.9,G,13.9,G,1
1228,dry whole wheat breadcrumb,10.5,G,74.1,G,1.32,G,1
1229,condensed golden corn soup,1.46,G,15.2,G,0.44,G,1
1230,cheese and salsa dip,3.14,G,11.1,G,9.51,G,1
1231,small-curd cottage cheese,11.1,G,3.38,G,4.3,G,1
1232,tomatoes and green chily,0.69,G,3.62,G,0.08,G,1
1233,garlic and herb shake-in-bake,6.1,G,79.8,G,3.7,G,1
1234,angel food cake,7.02,G,59.6,G,0.0,G,1
1235,nacho cheese soup,4.32,G,34.9,G,21.5,G,1
1236,frozen shoestring french fry,2.16,G,25.6,G,6.24,G,1
1237,chicken gravy,1.67,G,5.0,G,0.0,G,1
1238,wild strawberry gelatin,1.22,G,14.2,G,0.0,G,1
1239,pork baby back rib,13.6,G,16.4,G,9.29,G,1
1240,mexicorn whole kernel corn,3.62,G,25.9,G,1.42,G,1
1241,unsweetened tart red cherry,0.31,G,13.7,G,0.54,G,1
1242,shallot,2.5,G,16.8,G,0.1,G,1
1243,bear shaped graham cracker,6.69,G,77.7,G,10.6,G,1
1244,red food coloring paste,9.0,G,47.8,G,27.7,G,1
1245,white bread rolls dough,10.8,G,51.9,G,2.42,G,1
1246,condensed chicken noodle soup,2.44,G,7.32,G,1.22,G,1
1247,sun-dried tomato alfredo sauce,14.1,G,55.8,G,2.97,G,1
1248,brown roll,10.9,G,52.0,G,6.47,G,1
1249,'s baking chocolate,3.64,G,77.4,G,15.6,G,1
1250,unbuttered and unsalted popcorn,12.9,G,77.5,G,4.52,G,1
1251,pork shoulder blade roast,17.3,G,0.37,G,23.5,G,1
1252,rotel tomatoes & chily,0.88,G,3.89,G,0.2,G,1
1253,bottom round beef roast,28.3,G,0.0,G,5.33,G,1
1254,mutton,13.1,G,3.1,G,6.38,G,1
1255,spanish olife,6.48,G,8.04,G,2.76,G,1
1256,white creme de menthe,0.0,G,41.6,G,0.3,G,1
1257,dinner roll,9.09,G,42.4,G,3.03,G,1
1258,chocolate pie crust,6.08,G,64.5,G,22.4,G,1
1259,cooked chicken breast strip,16.4,G,17.6,G,12.9,G,1
1260,peanut butter cookie mix,7.14,G,71.4,G,14.3,G,1
1261,frozen broccoli and cauliflower,2.01,G,4.68,G,0.27,G,1
1262,garlic and herb marinade,0.0,G,13.3,G,0.0,G,1
1263,bicarbonate of soda,0.0,G,0.0,G,0.0,G,1
1264,chocolate cookies,6.67,G,60.0,G,20.0,G,1
1265,chocolate fudge frosting,2.4,G,38.0,G,12.5,G,1
1266,frozen apple juice concentrate,0.05,G,51.4,G,0.0,G,1
1267,lean lamb stew meat,34.0,G,0.0,G,10.0,G,1
1268,peppermint patty,2.19,G,81.0,G,7.17,G,1
1269,rolled anchovies over caper,26.7,G,0.0,G,6.67,G,1
1270,unsalted dry roasted peanut,24.4,G,21.3,G,49.7,G,1
1271,blueberry muffin mix,5.95,G,76.2,G,8.33,G,1
1272,shortbread cookies,4.65,G,67.4,G,23.3,G,1
1273,lean beef chuck roast,26.4,G,0.0,G,9.36,G,1
1274,monterey jack cheese cube,25.0,G,0.0,G,28.6,G,1
1275,white chocolate liqueur,0.0,G,41.6,G,0.3,G,1
1276,roasted garlic alfredo sauce,1.64,G,4.92,G,9.84,G,1
1277,whole wheat penne rigate,12.5,G,73.2,G,2.68,G,1
1278,large egg white,10.7,G,2.36,G,0.0,G,1
1279,whole wheat pizza dough,11.4,G,33.0,G,10.4,G,1
1280,unsweetened apple juice concentrate,0.51,G,41.0,G,0.37,G,1
1281,cinnamon toast crunch cereal,5.13,G,79.5,G,10.3,G,1
1282,french fried onion ring,4.19,G,39.9,G,19.8,G,1
1283,fresh whole wheat breadcrumb,10.2,G,48.9,G,1.53,G,1
1284,pheasant breast,24.4,G,0.0,G,3.25,G,1
1285,dried sweet basil leaf,21.9,G,52.1,G,4.78,G,1
1286,red hot pepper sauce,0.0,G,11.1,G,0.0,G,1
1287,four cheese pasta sauce,1.59,G,7.94,G,0.79,G,1
1288,lifesavers five roll candy,1.59,G,87.7,G,3.31,G,1
1289,peaches in heavy syrup,0.52,G,18.4,G,0.18,G,1
1290,tomato soup,0.83,G,10.8,G,0.0,G,1
1291,seedless red raspberry jam,0.0,G,65.0,G,0.0,G,1
1292,dry pasta shell macaroni,13.0,G,74.7,G,1.51,G,1
1293,tanqueray london dry gin,0.0,G,0.0,G,0.0,G,1
1294,cranberry juice cocktail,0.0,G,13.3,G,0.0,G,1
1295,dream whip topping mix,1.25,G,23.0,G,25.3,G,1
1296,soft stale bread crumb,8.85,G,49.4,G,3.33,G,1
1297,dried hot chili pepper,1.39,G,7.66,G,0.4,G,1
1298,blueberries in heavy syrup,0.65,G,22.1,G,0.33,G,1
1299,fresh ground black pepper,25.7,G,0.0,G,20.8,G,1
1300,plums in heavy syrup,0.44,G,23.1,G,0.14,G,1
1301,vegetable juice cocktail,0.93,G,3.87,G,0.31,G,1
1302,hot dog bun,8.51,G,42.6,G,1.06,G,1
1303,double chocolate chip,4.4,G,44.0,G,12.6,G,1
1304,white bread,11.5,G,53.8,G,1.92,G,1
1305,condensed vegetable beef soup,4.45,G,8.11,G,1.51,G,1
1306,marinara sauce,1.6,G,6.4,G,2.4,G,1
1307,whole wheat bread flmy,12.3,G,43.1,G,3.55,G,1
1308,red chili pepper flake,1.87,G,8.81,G,0.44,G,1
1309,honey ham,14.3,G,8.57,G,4.29,G,1
1310,chocolate graham cracker crumb,4.0,G,66.8,G,25.8,G,1
1311,green hot pepper sauce,1.29,G,0.8,G,0.76,G,1
1312,italian cut green bean,1.88,G,6.8,G,2.16,G,1
1313,ature m&m baking bit,4.33,G,71.2,G,21.1,G,1
1314,frozen potato pierogy,2.03,G,26.1,G,9.17,G,1
1315,beef chuck,21.9,G,0.21,G,3.99,G,1
1316,roast beef in gravy,13.2,G,3.29,G,3.95,G,1
1317,instant espresso coffee powder,0.12,G,1.67,G,0.18,G,1
1318,swans down cake flmy,3.51,G,43.6,G,16.5,G,1
1319,whole grain waffle,9.26,G,38.6,G,19.0,G,1
1320,mocha instant coffee,5.29,G,74.0,G,15.9,G,1
1321,chopped clam,8.73,G,9.83,G,4.72,G,1
1322,jiffy corn muffin mix,5.26,G,71.0,G,11.8,G,1
1323,pork rib roast,27.0,G,0.0,G,14.7,G,1
1324,instant chocolate drink mix,2.3,G,87.9,G,1.9,G,1
1325,minced clam,16.3,G,1.84,G,20.7,G,1
1326,blueberries in light syrup,0.74,G,23.5,G,0.0,G,1
1327,cooked short-grain brown rice,2.36,G,28.7,G,0.19,G,1
1328,chocolate cookie pie crust,4.76,G,66.7,G,21.4,G,1
1329,key lime yogurt,2.35,G,17.6,G,1.18,G,1
1330,black forest ham,16.1,G,3.57,G,2.68,G,1
1331,instant lemon pudding mix,0.0,G,95.4,G,0.7,G,1
1332,cranberry gelatin,1.22,G,14.2,G,0.0,G,1
1333,graham cracker crumb crust,5.1,G,64.3,G,24.8,G,1
1334,french vanilla instant pudding,0.0,G,92.9,G,0.6,G,1
1335,light vanilla ice cream,4.38,G,25.4,G,6.14,G,1
1336,"blood orange, juice of",14.6,G,1.29,G,34.5,G,1
1337,unsalted peanut butter,28.0,G,15.3,G,52.5,G,1
1338,refrigerated brownie bar dough,6.79,G,49.0,G,11.2,G,1
1339,ground pepper,27.1,G,0.0,G,10.3,G,1
1340,supreme brownie mix,4.0,G,76.6,G,14.9,G,1
1341,peaches in light syrup,0.73,G,15.3,G,0.0,G,1
1342,cranberry juice,0.0,G,7.5,G,0.0,G,1
1343,vanilla instant pudding mix,0.0,G,92.9,G,0.6,G,1
1344,beef double bouillon cube,1.14,G,0.04,G,0.22,G,1
1345,refrigerated buttermilk biscuit,6.16,G,42.4,G,11.3,G,1
1346,turkey thigh,24.4,G,0.27,G,9.26,G,1
1347,sugar cookie dough,5.26,G,63.2,G,15.8,G,1
1348,vanilla wafer crumb,4.9,G,72.6,G,16.4,G,1
1349,chuck roast,24.6,G,0.0,G,12.3,G,1
1350,concentrated tomato paste,9.0,G,47.8,G,27.7,G,1
1351,whole wheat bun,12.4,G,44.9,G,4.38,G,1
1352,keen's dry mustard,4.25,G,5.3,G,3.38,G,1
1353,lemon peel strip,1.5,G,16.0,G,0.3,G,1
1354,beef cube steak,17.3,G,16.1,G,4.0,G,1
1355,dole pineapple slice,0.54,G,13.1,G,0.12,G,1
1356,goat cheese,25.0,G,0.0,G,32.1,G,1
1357,beer,0.46,G,3.55,G,0.0,G,1
1358,relish sandwich spread,0.0,G,20.0,G,20.0,G,1
1359,honey nut chex,6.3,G,86.7,G,2.0,G,1
1360,frozen pearl onion,0.7,G,6.49,G,2.58,G,1
1361,tofu sour cream,2.4,G,6.63,G,19.5,G,1
1362,cranberry jell-o gelatin,9.09,G,86.4,G,0.0,G,1
1363,cinnamon raisin bagel,9.8,G,55.2,G,1.7,G,1
1364,cranberry orange sauce,0.9,G,40.4,G,0.15,G,1
1365,mixed glace fruit,0.1,G,11.7,G,0.1,G,1
1366,yellow sweet onion,0.83,G,8.61,G,0.05,G,1
1367,"grapefruit, zest of",0.77,G,10.7,G,0.14,G,1
1368,crusty cobb loaf,8.59,G,46.4,G,2.88,G,1
1369,fine cracker crumb,13.3,G,72.0,G,1.84,G,1
1370,hot pepper juice,0.8,G,4.56,G,0.4,G,1
1371,top round steak,32.5,G,0.0,G,1.8,G,1
1372,red onion strip,0.94,G,9.93,G,0.1,G,1
1373,turkey breast tenderloin,14.8,G,2.2,G,3.77,G,1
1374,ketchup,1.04,G,27.4,G,0.1,G,1
1375,fresh tuna filet,76.2,G,0.0,G,1.53,G,1
1376,instant milk,3.98,G,18.2,G,4.39,G,1
1377,cheese cracker crumb,10.9,G,59.4,G,22.7,G,1
1378,white pea bean,6.5,G,25.2,G,4.21,G,1
1379,baker's chocolate,8.4,G,18.1,G,1.9,G,1
1380,tandoori color powder,3.69,G,79.6,G,0.47,G,1
1381,unsalted pistachio nut,20.4,G,27.4,G,47.4,G,1
1382,delmonte stewed tomato,1.61,G,15.4,G,3.17,G,1
1383,rendered lard,0.0,G,0.0,G,100,G,1
1384,red pasta sauce,5.86,G,19.2,G,2.58,G,1
1385,pesto sauce mix,8.61,G,5.78,G,59.2,G,1
1386,coconut milk,0.21,G,2.92,G,2.08,G,1
1387,chunky tomato,1.14,G,7.9,G,0.36,G,1
1388,bitter cocoa powder,19.6,G,57.9,G,13.7,G,1
1389,hot pepper relish,1.5,G,23.4,G,0.46,G,1
1390,skim evaporated milk,6.67,G,10.0,G,0.0,G,1
1391,ocean perch fillet,15.3,G,0.0,G,1.54,G,1
1392,sauterne white wine,0.0,G,10.0,G,0.0,G,1
1393,unsweetened cranberry juice,0.39,G,12.2,G,0.13,G,1
1394,bottom round steak,21.2,G,0.0,G,6.59,G,1
1395,"pomegranate, seeds of",1.67,G,18.7,G,1.17,G,1
1396,chinese egg noodle,10.9,G,63.6,G,21.2,G,1
1397,cooked rigatoni pastum,20.4,G,7.26,G,4.59,G,1
1398,walleyed pike fillet,19.4,G,9.85,G,10.9,G,1
1399,whiting fish fillet,18.1,G,8.18,G,10.0,G,1
1400,rice paper sheet,5.07,G,72.5,G,1.21,G,1
1401,black cumin seed,17.8,G,44.2,G,22.3,G,1
1402,evaporated cane juice,6.81,G,10.0,G,7.56,G,1
1403,chunky picante sauce,1.14,G,7.9,G,0.36,G,1
1404,sweet red onion,0.94,G,9.93,G,0.1,G,1
1405,unsweetened pineapple tidbit,1.3,G,44.3,G,0.1,G,1
1406,strawberry cream liqueur,2.8,G,20.9,G,15.7,G,1
1407,large egg yolk,16.2,G,1.02,G,28.8,G,1
1408,dried lemon gras,11.4,G,4.67,G,43.8,G,1
1409,bottled clam juice,0.15,G,13.1,G,0.29,G,1
1410,grape juice concentrate,0.37,G,14.8,G,0.13,G,1
